team,player,number,pos,season,fpl_game_week_x,mins_played_last,percentage_of_teams_actual_goals_last_5,percentage_of_teams_xg_goals_last_5,percentage_of_teams_actual_assists_last_5,percentage_of_teams_xg_assists_last_5,count,fpl_game_week_y,scored,conceded,cleen_sheet_prob,date,predicted_points_actual,predicted_points_xg
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,25,2.2246791226466835,0.8294405007854808,0.4526816970809718,2019-02-04,1.0,1.071189731924694
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,26,2.476129190058369,0.6945072155938881,0.4990913710300669,2019-02-09,1.0,1.0792361340818677
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,27,1.6635145012902837,1.7005964798449391,0.2541003299537009,2019-02-24,1.0,1.0532324640412891
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,28,2.5997001108290103,0.5161091969438188,0.5405806996480882,2019-02-27,1.0,1.0831904035465283
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,29,1.9775240023835217,0.9040329189777504,0.4167378600824164,2019-03-03,1.0,1.0632807680762726
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,30,2.544994815406872,0.5568446368484815,0.5285871825924825,2019-03-10,1.0,1.0814398340930198
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,31,2.5052433633101647,0.7465916067197568,0.4931797956983463,2019-03-17,1.0,1.0801677876259252
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,32,1.8779794109934724,1.167652756101284,0.3633298066170787,2019-03-31,1.0,1.060095341151791
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,33,2.1575316631893355,0.72392662214716,0.4638805895545621,2019-04-05,1.0,1.0690410132220587
Liverpool,Danny Ings,0.0,FWD,2017-18,25,9.0,0.0,0.008,0.0,0.0,1,34,2.007662671776022,0.8653836598794785,0.426046707606209,2019-04-14,1.0,1.0642452054968328
